Holdings details

Total Stock Market ETF (VTI)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BYVMVV0,Park Hotels & Resorts Inc,PK,<0.01%,Hotel & Resort REITs,US,---,"$57,924,267.76","5,227,822"
,BPLYVQ8,Liberty Media Corp-Liberty Live,LLYVA,<0.01%,Movies & Entertainment,US,---,"$57,888,601.10","613,877"
,BNT8W21,Hillman Solutions Corp,HLMN,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$57,579,989.40","6,272,330"
,BSLSSX7,GRAIL Inc,GRAL,<0.01%,Biotechnology,US,---,"$57,565,183.68","973,536"
,BMHRMK1,Vita Coco Co Inc/The,COCO,<0.01%,Soft Drinks & Non-alcoholic Beverages,US,---,"$57,535,000.87","1,354,721"
,BW0FQV1,Blue Bird Corp,BLBD,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$57,508,276.25","999,275"
,B8DPDT7,Sarepta Therapeutics Inc,SRPT,<0.01%,Biotechnology,US,---,"$57,268,898.40","2,971,920"
,BJTD9L6,Knowles Corp,KN,<0.01%,Electronic Components,US,---,"$57,266,026.65","2,456,715"
,2269768,Dillard's Inc,DDS,<0.01%,Broadline Retail,US,---,"$57,150,941.36","93,007"
,2150420,Steelcase Inc,SCS,<0.01%,Office Services & Supplies,US,---,"$57,120,718.40","3,320,972"
,2369226,Gibraltar Industries Inc,ROCK,<0.01%,Building Products,US,---,"$57,041,428.40","908,303"
,2210885,CSG Systems International Inc,CSGS,<0.01%,Data Processing & Outsourced Services,US,---,"$56,900,653.50","883,825"
,BNTBRX6,Seadrill Ltd,SDRL,<0.01%,Oil & Gas Drilling,US,---,"$56,694,955.95","1,876,695"
,B82GC49,Legalzoom.com Inc,LZ,<0.01%,Research & Consulting Services,US,---,"$56,623,574.70","5,455,065"
,2447285,NetScout Systems Inc,NTCT,<0.01%,Communications Equipment,US,---,"$56,582,423.10","2,190,570"
,BN6R7F9,Rush Street Interactive Inc,RSI,<0.01%,Casinos & Gaming,US,---,"$56,570,286.08","2,762,221"
,BZ2YT30,Goosehead Insurance Inc,GSHD,<0.01%,Insurance Brokers,US,---,"$56,534,715.82","759,671"
,B1G6TJ0,LeMaitre Vascular Inc,LMAT,<0.01%,Health Care Equipment,US,---,"$56,419,797.24","644,724"
,BMCQX44,SIRIUSPOINT LTD,SPNT,<0.01%,Reinsurance,US,---,"$56,216,827.71","3,107,619"
,BMFLYL0,NETSTREIT Corp,NTST,<0.01%,Retail REITs,US,---,"$56,170,771.86","3,110,231"
,BFNF1D6,Amneal Pharmaceuticals Inc,AMRX,<0.01%,Pharmaceuticals,US,---,"$56,139,903.82","5,608,382"
,BYWPZW7,Sonos Inc,SONO,<0.01%,Consumer Electronics,US,---,"$56,124,681.00","3,552,195"
,2149934,Buckle Inc/The,BKE,<0.01%,Apparel Retail,US,---,"$56,113,510.74","956,589"
,2562490,ManpowerGroup Inc,MAN,<0.01%,Human Resource & Employment Services,US,---,"$56,067,895.60","1,479,364"
,BKY7X18,Five9 Inc,FIVN,<0.01%,Application Software,US,---,"$55,921,916.60","2,310,823"
,BN71J76,Madison Square Garden Entertainment Corp,MSGE,<0.01%,Movies & Entertainment,US,---,"$55,871,490.48","1,235,002"
,2938422,Veeco Instruments Inc,VECO,<0.01%,Semiconductor Materials & Equipment,US,---,"$55,743,895.39","1,831,873"
,BJLV8T9,Celldex Therapeutics Inc,CLDX,<0.01%,Biotechnology,US,---,"$55,624,975.51","2,150,173"
,2420316,Pathward Financial Inc,CASH,<0.01%,Regional Banks,US,---,"$55,485,889.08","749,708"
,BMX6DM1,Vertex Inc,VERX,<0.01%,Application Software,US,---,"$55,405,674.79","2,235,001"
,BLSPX60,Payoneer Global Inc,PAYO,<0.01%,Transaction & Payment Processing Services,US,---,"$55,138,744.10","9,113,842"
,BJH08C3,Par Pacific Holdings Inc,PARR,<0.01%,Oil & Gas Refining & Marketing,US,---,"$55,055,891.66","1,554,373"
,B034LG1,Sunstone Hotel Investors Inc,SHO,<0.01%,Hotel & Resort REITs,US,---,"$55,050,717.70","5,875,210"
,BRCYYB7,Veritex Holdings Inc,VBTX,<0.01%,Regional Banks,US,---,"$55,021,556.45","1,640,965"
,BMFND53,Alpha Metallurgical Resources Inc,AMR,<0.01%,Steel,US,---,"$54,973,431.80","335,020"
,B1FP363,ICF International Inc,ICFI,<0.01%,Research & Consulting Services,US,---,"$54,918,390.40","591,793"
,BK8MDM0,Helios Technologies Inc,HLIO,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$54,814,121.57","1,051,489"
,BZCFW78,Global Net Lease Inc,GNL,<0.01%,Diversified REITs,US,---,"$54,718,558.50","6,730,450"
,2690506,Pitney Bowes Inc,PBI,<0.01%,Office Services & Supplies,US,---,"$54,631,353.84","4,788,024"
,BLNMFN7,AvidXchange Holdings Inc,AVDX,<0.01%,Transaction & Payment Processing Services,US,---,"$54,578,665.35","5,485,293"
,BD2B4V0,Denali Therapeutics Inc,DNLI,<0.01%,Biotechnology,US,---,"$54,451,611.72","3,750,111"
,2473150,Interparfums Inc,IPAR,<0.01%,Personal Care Products,US,---,"$54,304,382.68","551,986"
,2161778,City Holding Co,CHCO,<0.01%,Regional Banks,US,---,"$54,265,341.21","438,083"
,BJLTMX5,Enovis Corp,ENOV,<0.01%,Health Care Equipment,US,---,"$54,162,057.80","1,785,170"
,BD93QN5,Solaris Energy Infrastructure Inc,SEI,<0.01%,Oil & Gas Equipment & Services,US,---,"$53,971,171.24","1,350,292"
,BVDGYR6,Lionsgate Studios Corp,LION,<0.01%,Movies & Entertainment,US,---,"$53,903,372.70","7,812,083"
,BPMQ8J5,Adeia Inc,ADEA,<0.01%,Systems Software,US,---,"$53,878,154.40","3,207,033"
,BCDWBX6,ANI Pharmaceuticals Inc,ANIP,<0.01%,Pharmaceuticals,US,---,"$53,772,497.60","587,036"
,BYWPZY9,Arlo Technologies Inc,ARLO,<0.01%,Electronic Equipment & Instruments,US,---,"$53,341,887.30","3,147,014"
,BPDJN76,Masterbrand Inc,MBC,<0.01%,Building Products,US,---,"$53,315,557.86","4,048,258"
,BYTC1B2,Surgery Partners Inc,SGRY,<0.01%,Health Care Facilities,US,---,"$53,206,073.24","2,458,691"
,2351546,First Commonwealth Financial Corp,FCF,<0.01%,Regional Banks,US,---,"$53,128,277.40","3,116,028"
,BGLN838,LiveRamp Holdings Inc,RAMP,<0.01%,Application Software,US,---,"$52,947,236.02","1,950,893"
,BKWD3M9,Progyny Inc,PGNY,<0.01%,Managed Health Care,US,---,"$52,816,277.76","2,454,288"
,B6ZC3N6,TripAdvisor Inc,TRIP,<0.01%,Interactive Media & Services,US,---,"$52,807,959.72","3,247,722"
,B090B96,DiamondRock Hospitality Co,DRH,<0.01%,Hotel & Resort REITs,US,---,"$52,687,096.72","6,618,982"
,BYZFPN5,Energizer Holdings Inc,ENR,<0.01%,Household Products,US,---,"$52,666,966.21","2,115,989"
,2498788,LTC Properties Inc,LTC,<0.01%,Health Care REITs,US,---,"$52,636,669.76","1,428,016"
,BMDX9Z7,DoubleVerify Holdings Inc,DV,<0.01%,Advertising,US,---,"$52,598,932.76","4,390,562"
,2632650,NCR Voyix Corp,VYX,<0.01%,Application Software,US,---,"$52,571,937.45","4,188,999"
,2981932,Worthington Enterprises Inc,WOR,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$52,567,785.62","947,338"
,BNNMQS3,Skyward Specialty Insurance Group Inc,SKWD,<0.01%,Property & Casualty Insurance,US,---,"$52,491,781.76","1,103,696"
,BRF2GD4,Atlanta Braves Holdings Inc,BATRK,<0.01%,Movies & Entertainment,US,---,"$52,477,554.97","1,261,783"
,BM8MM05,Sphere Entertainment Co,SPHR,<0.01%,Movies & Entertainment,US,---,"$52,283,111.64","841,647"
,2007281,Insperity Inc,NSP,<0.01%,Human Resource & Employment Services,US,---,"$52,014,043.20","1,057,196"
,B0C8KV2,AtriCure Inc,ATRC,<0.01%,Health Care Equipment,US,---,"$51,735,332.25","1,467,669"
,BRJ8H91,ARMOUR Residential REIT Inc,ARR,<0.01%,Mortgage REITs,US,---,"$51,698,659.86","3,460,419"
,B1GZ005,Sally Beauty Holdings Inc,SBH,<0.01%,Other Specialty Retail,US,---,"$51,385,605.92","3,156,364"
,2670036,PAR Technology Corp,PAR,<0.01%,Application Software,US,---,"$51,278,621.02","1,295,569"
,BJN4K01,Dynex Capital Inc,DX,<0.01%,Mortgage REITs,US,---,"$51,261,430.23","4,170,987"
,2279897,Bel Fuse Inc,BELFB,<0.01%,Electronic Components,US,---,"$51,235,104.36","363,318"
,BNNTCT7,Enovix Corp,ENVX,<0.01%,Electrical Components & Equipment,US,---,"$51,114,574.86","5,126,838"
,BD60BG7,Alphatec Holdings Inc,ATEC,<0.01%,Health Care Equipment,US,---,"$51,103,912.48","3,514,712"
,BK95GR4,LendingClub Corp,LC,<0.01%,Consumer Finance,US,---,"$51,026,354.33","3,359,207"
,BNGJQZ8,Porch Group Inc,PRCH,<0.01%,Application Software,US,---,"$51,012,525.62","3,040,079"
,BN7ZZ47,Century Communities Inc,CCS,<0.01%,Homebuilding,US,---,"$50,931,609.66","803,718"
,2113393,Boston Beer Co Inc/The,SAM,<0.01%,Brewers,US,---,"$50,853,698.28","240,534"
,2496113,Kohl's Corp,KSS,<0.01%,Broadline Retail,US,---,"$50,763,359.72","3,302,756"
,BNR4QY1,Crescent Energy Co,CRGY,<0.01%,Oil & Gas Exploration & Production,US,---,"$50,744,898.80","5,688,890"
,2388016,Greif Inc,GEF,<0.01%,"Metal, Glass & Plastic Containers",US,---,"$50,740,482.96","849,071"
,2488121,Kennametal Inc,KMT,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$50,711,485.37","2,422,909"
,BMH0MV1,DNOW Inc,DNOW,<0.01%,Trading Companies & Distributors,US,---,"$50,552,865.50","3,314,942"
,BGKG6G7,Twist Bioscience Corp,TWST,<0.01%,Biotechnology,US,---,"$50,534,881.32","1,795,838"
,B2QH310,Iridium Communications Inc,IRDM,<0.01%,Alternative Carriers,US,---,"$50,477,191.74","2,891,019"
,2002543,Universal Technical Institute Inc,UTI,<0.01%,Education Services,US,---,"$50,391,240.90","1,548,118"
,B86V808,Interface Inc,TILE,<0.01%,Office Services & Supplies,US,---,"$50,340,174.98","1,739,467"
,BMFPJK6,ACV Auctions Inc,ACVA,<0.01%,Diversified Support Services,US,---,"$50,311,583.50","5,076,850"
,2100362,BioCryst Pharmaceuticals Inc,BCRX,<0.01%,Biotechnology,US,---,"$50,233,693.95","6,618,405"
,B75DGJ3,Ziff Davis Inc,ZD,<0.01%,Interactive Media & Services,US,---,"$49,900,103.40","1,309,714"
,2537528,Lakeland Financial Corp,LKFN,<0.01%,Regional Banks,US,---,"$49,883,079.00","776,995"
,BSBMN89,Vericel Corp,VCEL,<0.01%,Biotechnology,US,---,"$49,846,812.09","1,583,947"
,BMBP1Q0,Flywire Corp,FLYW,<0.01%,Transaction & Payment Processing Services,US,---,"$49,779,457.96","3,676,474"
,2012757,Albany International Corp,AIN,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$49,536,167.20","929,384"
,BN15WD1,Dyne Therapeutics Inc,DYN,<0.01%,Biotechnology,US,---,"$49,535,148.30","3,915,822"
,2011970,CECO Environmental Corp,CECO,<0.01%,Environmental & Facilities Services,US,---,"$49,467,801.60","966,168"
,BYQ7X92,Turning Point Brands Inc,TPB,<0.01%,Tobacco,US,---,"$49,446,410.76","500,166"
,2391092,Winmark Corp,WINA,<0.01%,Other Specialty Retail,US,---,"$48,881,014.00","98,200"
,BDW0D09,Applied Optoelectronics Inc,AAOI,<0.01%,Communications Equipment,US,---,"$48,872,578.77","1,884,789"
,BF081J4,MannKind Corp,MNKD,<0.01%,Biotechnology,US,---,"$48,786,245.94","9,084,962"
,BN4G703,AMC Entertainment Holdings Inc,AMC,<0.01%,Movies & Entertainment,US,---,"$48,775,366.80","16,819,092"
,2811932,H2O America,HTO,<0.01%,Water Utilities,US,---,"$48,753,570.00","1,001,100"
,BM9HHL5,Apogee Therapeutics Inc,APGE,<0.01%,Biotechnology,US,---,"$48,689,234.19","1,225,503"
,2469171,J & J Snack Foods Corp,JJSF,<0.01%,Packaged Foods & Meats,US,---,"$48,647,676.48","506,272"
,2965668,John Wiley & Sons Inc,WLY,<0.01%,Publishing,US,---,"$48,521,142.27","1,198,941"
,BL55460,Vera Therapeutics Inc,VERA,<0.01%,Biotechnology,US,---,"$48,509,393.04","1,669,284"
,2516613,Lindsay Corp,LNN,<0.01%,Agricultural & Farm Machinery,US,---,"$48,467,055.84","344,814"
,BLTFST7,ArcBest Corp,ARCB,<0.01%,Cargo Ground Transportation,US,---,"$48,454,425.78","693,494"
,BMHR7L7,Alkami Technology Inc,ALKT,<0.01%,Application Software,US,---,"$48,291,717.24","1,944,111"
,BMDH2B6,Viridian Therapeutics Inc,VRDN,<0.01%,Biotechnology,US,---,"$48,279,423.40","2,237,230"
,2363381,Federal Agricultural Mortgage Corp,AGM,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$48,146,091.64","286,618"
,BD0NN55,Innovative Industrial Properties Inc,IIPR,<0.01%,Industrial REITs,US,---,"$48,059,009.64","896,958"
,2186254,Century Aluminum Co,CENX,<0.01%,Aluminum,US,---,"$48,015,725.68","1,635,413"
,2696117,Papa John's International Inc,PZZA,<0.01%,Restaurants,US,---,"$48,014,361.45","997,183"
,2698146,Getty Realty Corp,GTY,<0.01%,Retail REITs,US,---,"$47,927,072.92","1,786,324"
,BMW72C8,Sylvamo Corp,SLVM,<0.01%,Paper Products,US,---,"$47,913,033.30","1,083,515"
,2012865,Nicolet Bankshares Inc,NIC,<0.01%,Regional Banks,US,---,"$47,880,924.00","355,992"
,2139731,National HealthCare Corp,NHC,<0.01%,Health Care Facilities,US,---,"$47,704,096.94","392,594"
,B1P36Y6,Central Garden & Pet Co,CENTA,<0.01%,Household Products,US,---,"$47,603,866.03","1,612,051"
,2746700,Rogers Corp,ROG,<0.01%,Electronic Components,US,---,"$47,432,296.44","589,514"
,2365428,Hilltop Holdings Inc,HTH,<0.01%,Regional Banks,US,---,"$47,325,727.80","1,416,090"
,BSWW173,Onestream Inc,OS,<0.01%,Systems Software,US,---,"$47,301,479.64","2,566,548"
,2942304,Elme Communities,ELME,<0.01%,Multi-Family Residential REITs,US,---,"$47,292,468.60","2,805,010"
,2781109,S&T Bancorp Inc,STBA,<0.01%,Regional Banks,US,---,"$47,256,042.96","1,257,144"
,B0650B9,Huntsman Corp,HUN,<0.01%,Diversified Chemicals,US,---,"$47,063,183.22","5,240,889"
,2276627,DXP Enterprises Inc/TX,DXPE,<0.01%,Trading Companies & Distributors,US,---,"$46,947,514.95","394,285"
,BK1KWF7,Grocery Outlet Holding Corp,GO,<0.01%,Food Retail,US,---,"$46,902,594.00","2,922,280"
,BMGJZJ8,Disc Medicine Inc,IRON,<0.01%,Biotechnology,US,---,"$46,718,031.36","706,992"
,BPLZLN8,Calumet Inc,CLMT,<0.01%,Oil & Gas Refining & Marketing,US,---,"$46,715,017.75","2,559,727"
,BM9GT61,Certara Inc,CERT,<0.01%,Health Care Technology,US,---,"$46,686,839.94","3,820,527"
,2216010,CONMED Corp,CNMD,<0.01%,Health Care Equipment,US,---,"$46,573,056.52","990,284"
,BRXB0C0,Kiniksa Pharmaceuticals International Plc,KNSA,<0.01%,Biotechnology,US,---,"$46,282,253.60","1,191,920"
,2622253,Napco Security Technologies Inc,NSSC,<0.01%,Electronic Equipment & Instruments,US,---,"$46,131,005.85","1,074,063"
,2908652,UFP Technologies Inc,UFPT,<0.01%,Health Care Supplies,US,---,"$46,128,757.60","231,106"
,BHNDW86,Harrow Inc,HROW,<0.01%,Pharmaceuticals,US,---,"$46,120,449.54","957,253"
,BYVJ8J8,Liquidia Corp,LQDA,<0.01%,Pharmaceuticals,US,---,"$45,854,345.88","2,016,462"
,B1XHRL4,TriMas Corp,TRS,<0.01%,"Metal, Glass & Plastic Containers",US,---,"$45,848,369.28","1,186,552"
,B888DV3,National Bank Holdings Corp,NBHC,<0.01%,Regional Banks,US,---,"$45,811,429.44","1,185,596"
,BKY5JZ8,Edgewise Therapeutics Inc,EWTX,<0.01%,Pharmaceuticals,US,---,"$45,795,515.56","2,823,398"
,BD82PS1,Comstock Resources Inc,CRK,<0.01%,Oil & Gas Exploration & Production,US,---,"$45,748,662.69","2,307,043"
,B4JTYX6,Apollo Commercial Real Estate Finance Inc,ARI,<0.01%,Mortgage REITs,US,---,"$45,645,557.14","4,505,978"
,BMW4TN9,fuboTV Inc,FUBO,<0.01%,Interactive Media & Services,US,---,"$45,224,566.90","10,897,486"
,BBBSMJ2,Coty Inc,COTY,<0.01%,Personal Care Products,US,---,"$45,170,326.96","11,180,774"
,2677640,Pediatrix Medical Group Inc,MD,<0.01%,Health Care Services,US,---,"$45,169,624.50","2,696,694"
,2852760,JetBlue Airways Corp,JBLU,<0.01%,Passenger Airlines,US,---,"$45,080,001.84","9,162,602"
,BD3BX01,JBG SMITH Properties,JBGS,<0.01%,Office REITs,US,---,"$45,057,073.25","2,025,037"
,BMHVMY7,Ouster Inc,OUST,<0.01%,Electronic Equipment & Instruments,US,---,"$44,929,725.40","1,660,988"
,2060518,Astronics Corp,ATRO,<0.01%,Aerospace & Defense,US,---,"$44,901,083.77","984,457"
,2508405,La-Z-Boy Inc,LZB,<0.01%,Home Furnishings,US,---,"$44,761,688.40","1,304,245"
,2883641,Tennant Co,TNC,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$44,603,427.12","550,252"
,2948852,Werner Enterprises Inc,WERN,<0.01%,Cargo Ground Transportation,US,---,"$44,554,522.32","1,692,801"
,B84KWJ4,United Parks & Resorts Inc,PRKS,<0.01%,Leisure Facilities,US,---,"$44,470,323.70","860,161"
,BJ7JPH4,PagerDuty Inc,PD,<0.01%,Application Software,US,---,"$44,223,296.60","2,676,955"
,BL6JSP8,Vital Farms Inc,VITL,<0.01%,Packaged Foods & Meats,US,---,"$44,054,778.50","1,070,590"
,BNG7BZ7,Alight Inc,ALIT,<0.01%,Human Resource & Employment Services,US,---,"$43,936,623.92","13,477,492"
,BDGMC59,Avadel Pharmaceuticals PLC,AVDL,<0.01%,Pharmaceuticals,US,---,"$43,893,065.28","2,874,464"
,BYSS4X4,Novocure Ltd,NVCR,<0.01%,Health Care Equipment,US,---,"$43,531,575.64","3,369,317"
,BP3YM85,Trupanion Inc,TRUP,<0.01%,Property & Casualty Insurance,US,---,"$43,488,696.16","1,004,822"
,BQBCZY5,Stellar Bancorp Inc,STEL,<0.01%,Regional Banks,US,---,"$43,402,249.86","1,430,529"
,2469450,World Kinect Corp,WKC,<0.01%,Oil & Gas Refining & Marketing,US,---,"$43,264,125.45","1,667,211"
,2387530,Greenbrier Cos Inc/The,GBX,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$43,215,535.53","936,009"
,BSMR3P0,Sila Realty Trust Inc,SILA,<0.01%,Health Care REITs,US,---,"$43,211,130.90","1,721,559"
,BPLJQW4,Diebold Nixdorf Inc,DBD,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$43,103,673.21","755,807"
,BFZP4R9,nLight Inc,LASR,<0.01%,Electronic Equipment & Instruments,US,---,"$42,906,728.92","1,448,084"
,B4MF0Q6,Select Medical Holdings Corp,SEM,<0.01%,Health Care Facilities,US,---,"$42,805,247.28","3,333,742"
,BKSGZN7,Harmony Biosciences Holdings Inc,HRMY,<0.01%,Pharmaceuticals,US,---,"$42,710,641.48","1,549,733"
,B4XBDV9,Pebblebrook Hotel Trust,PEB,<0.01%,Hotel & Resort REITs,US,---,"$42,640,173.50","3,743,650"
,BF7J9X0,Coastal Financial Corp/WA,CCB,<0.01%,Regional Banks,US,---,"$42,622,765.95","394,035"
,2687315,Photronics Inc,PLAB,<0.01%,Semiconductor Materials & Equipment,US,---,"$42,478,200.90","1,850,902"
,2599197,Monarch Casino & Resort Inc,MCRI,<0.01%,Casinos & Gaming,US,---,"$42,388,496.64","400,496"
,2283229,Ducommun Inc,DCO,<0.01%,Aerospace & Defense,US,---,"$42,276,147.53","439,781"
,BYND5T7,Donnelley Financial Solutions Inc,DFIN,<0.01%,Financial Exchanges & Data,US,---,"$42,088,409.09","818,363"
,2789523,Omnicell Inc,OMCL,<0.01%,Health Care Equipment,US,---,"$41,982,876.60","1,378,748"
,2090816,Benchmark Electronics Inc,BHE,<0.01%,Electronic Manufacturing Services,US,---,"$41,979,138.15","1,088,953"
,BQC4R22,Sezzle Inc,SEZL,<0.01%,Transaction & Payment Processing Services,US,---,"$41,893,938.57","526,769"
,BYQRFY1,Teladoc Health Inc,TDOC,<0.01%,Health Care Technology,US,---,"$41,891,049.86","5,419,282"
,2118707,Fresh Del Monte Produce Inc,FDP,<0.01%,Agricultural Products & Services,US,---,"$41,840,030.40","1,205,070"
,BRJHSZ1,Penguin Solutions Inc,PENG,<0.01%,Semiconductors,US,---,"$41,803,201.80","1,590,685"
,B3NXMJ9,Wendy's Co/The,WEN,<0.01%,Restaurants,US,---,"$41,685,795.16","4,550,851"
,2923804,Universal Corp/VA,UVV,<0.01%,Tobacco,US,---,"$41,653,878.50","745,550"
,BJDQXG4,Novavax Inc,NVAX,<0.01%,Biotechnology,US,---,"$41,626,508.04","4,801,212"
,2502151,German American Bancorp Inc,GABC,<0.01%,Regional Banks,US,---,"$41,506,347.96","1,056,948"
,BKS3RS7,10X Genomics Inc,TXG,<0.01%,Life Sciences Tools & Services,US,---,"$41,468,334.46","3,547,334"
,BSZBFJ7,Venture Global Inc,VG,<0.01%,Oil & Gas Exploration & Production,US,---,"$41,463,534.75","2,922,025"
,BYN87K7,Hope Bancorp Inc,HOPE,<0.01%,Regional Banks,US,---,"$41,460,945.90","3,849,670"
,BRXYZ91,Ramaco Resources Inc,METC,<0.01%,Steel,US,---,"$41,366,356.50","1,246,350"
,BVV6CY1,Xenia Hotels & Resorts Inc,XHR,<0.01%,Hotel & Resort REITs,US,---,"$41,344,328.20","3,013,435"
,B1HP598,Willdan Group Inc,WLDN,<0.01%,Research & Consulting Services,US,---,"$41,326,176.21","427,409"
,BJBLBN4,Acadian Asset Management Inc,AAMI,<0.01%,Asset Management & Custody Banks,US,---,"$41,315,597.12","857,882"
,BKF9DQ8,Phreesia Inc,PHR,<0.01%,Health Care Technology,US,---,"$41,248,152.96","1,753,748"
,BKPG0T1,Janus International Group Inc,JBI,<0.01%,Building Products,US,---,"$41,184,104.85","4,172,655"
,BN7Q7R7,Syndax Pharmaceuticals Inc,SNDX,<0.01%,Biotechnology,US,---,"$41,103,381.41","2,671,653"
,BPCK358,Amylyx Pharmaceuticals Inc,AMLX,<0.01%,Pharmaceuticals,US,---,"$41,062,850.91","3,021,549"
,BNSNZL7,Coursera Inc,COUR,<0.01%,Education Services,US,---,"$41,041,407.07","3,504,817"
,2724115,United States Lime & Minerals Inc,USLM,<0.01%,Construction Materials,US,---,"$40,957,697.85","311,347"
,2229126,Columbia Sportswear Co,COLM,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$40,943,734.90","782,863"
,B827VB2,Alexander & Baldwin Inc,ALEX,<0.01%,Diversified REITs,US,---,"$40,852,975.57","2,245,903"
,BX3SQS1,Astrana Health Inc,ASTH,<0.01%,Health Care Services,US,---,"$40,764,635.10","1,437,906"
,BN4J951,Dianthus Therapeutics Inc,DNTH,<0.01%,Biotechnology,US,---,"$40,714,972.80","1,034,688"
,BNM6GH5,Sable Offshore Corp,SOC,<0.01%,Oil & Gas Exploration & Production,US,---,"$40,699,137.78","2,330,993"
,2274922,Andersons Inc/The,ANDE,<0.01%,Food Distributors,US,---,"$40,512,925.17","1,017,657"
,BMFZ702,Dime Community Bancshares Inc,DCOM,<0.01%,Regional Banks,US,---,"$40,505,142.78","1,357,866"
,BKV9674,Reynolds Consumer Products Inc,REYN,<0.01%,Household Products,US,---,"$40,356,902.80","1,649,240"
,BJ367P1,Ladder Capital Corp,LADR,<0.01%,Mortgage REITs,US,---,"$40,325,051.05","3,696,155"
,BMBP1P9,Paymentus Holdings Inc,PAY,<0.01%,Transaction & Payment Processing Services,US,---,"$40,135,388.40","1,311,614"
,2911166,US Physical Therapy Inc,USPH,<0.01%,Health Care Facilities,US,---,"$40,125,707.75","472,345"
,2240622,CRA International Inc,CRAI,<0.01%,Research & Consulting Services,US,---,"$40,024,414.08","191,936"
,2269661,Digi International Inc,DGII,<0.01%,Communications Equipment,US,---,"$39,940,398.68","1,095,458"
,BJ7MB31,Ellington Financial Inc,EFC,<0.01%,Mortgage REITs,US,---,"$39,904,310.16","3,074,292"
,BVLD6Y0,Figure Technology Solutions Inc,FIGR,<0.01%,Consumer Finance,US,---,"$39,860,247.05","1,095,965"
,BKQVBN6,A10 Networks Inc,ATEN,<0.01%,Systems Software,US,---,"$39,807,959.40","2,193,276"
,2950374,Westamerica BanCorp,WABC,<0.01%,Regional Banks,US,---,"$39,797,088.99","796,101"
,B3KKGQ8,Virtus Investment Partners Inc,VRTS,<0.01%,Asset Management & Custody Banks,US,---,"$39,491,084.45","207,815"
,BMGMH68,Navitas Semiconductor Corp,NVTS,<0.01%,Semiconductors,US,---,"$39,360,754.16","5,451,628"
,BYX38K9,NextDecade Corp,NEXT,<0.01%,Oil & Gas Storage & Transportation,US,---,"$39,345,157.46","5,794,574"
,BLBLMD5,Array Technologies Inc,ARRY,<0.01%,Electrical Components & Equipment,US,---,"$39,263,350.35","4,817,589"
,BN89V40,Ardelyx Inc,ARDX,<0.01%,Biotechnology,US,---,"$39,133,546.27","7,102,277"
,B6T6J81,Proto Labs Inc,PRLB,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$39,112,353.34","781,778"
,2630085,Neogen Corp,NEOG,<0.01%,Health Care Supplies,US,---,"$39,099,527.63","6,847,553"
,BYPBTB9,Appian Corp,APPN,<0.01%,Systems Software,US,---,"$39,084,264.69","1,278,517"
,2849193,Verint Systems Inc,VRNT,<0.01%,Application Software,US,---,"$39,039,914.25","1,927,897"
,BMDJ085,Shoals Technologies Group Inc,SHLS,<0.01%,Electrical Components & Equipment,US,---,"$38,883,745.29","5,247,469"
,2417619,Healthcare Services Group Inc,HCSG,<0.01%,Diversified Support Services,US,---,"$38,860,099.74","2,308,978"
,BRXZ3P6,SailPoint Inc,SAIL,<0.01%,Application Software,US,---,"$38,824,345.92","1,758,349"
,BRJZSK0,Dynavax Technologies Corp,DVAX,<0.01%,Biotechnology,US,---,"$38,786,013.99","3,905,943"
,BLFB3Y9,Perella Weinberg Partners,PWP,<0.01%,Investment Banking & Brokerage,US,---,"$38,775,984.52","1,818,761"
,BLFGN66,PROG Holdings Inc,PRG,<0.01%,Consumer Finance,US,---,"$38,727,509.56","1,196,771"
,B3RDWC8,MaxLinear Inc,MXL,<0.01%,Semiconductors,US,---,"$38,482,656.00","2,393,200"
,2594222,MillerKnoll Inc,MLKN,<0.01%,Office Services & Supplies,US,---,"$38,478,308.36","2,169,014"
,2612737,ProAssurance Corp,PRA,<0.01%,Property & Casualty Insurance,US,---,"$38,474,658.21","1,603,779"
,BKV28S8,Schrodinger Inc/United States,SDGR,<0.01%,Health Care Technology,US,---,"$38,413,335.32","1,914,922"
,BCRY5H0,Expro Group Holdings NV,XPRO,<0.01%,Oil & Gas Equipment & Services,US,---,"$38,336,950.08","3,227,016"
,BLR7H87,Xeris Biopharma Holdings Inc,XERS,<0.01%,Pharmaceuticals,US,---,"$38,291,015.84","4,704,056"
,BDRYFB1,Spectrum Brands Holdings Inc,SPB,<0.01%,Household Products,US,---,"$38,237,532.54","727,918"
