Holdings details

Total Stock Market ETF (VTI)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2065955,AutoZone Inc,AZO,0.11%,Automotive Retail,US,---,"$2,258,601,138.24","526,451"
,2197137,Cintas Corp,CTAS,0.11%,Diversified Support Services,US,---,"$2,209,387,440.48","10,763,848"
,2342034,Fiserv Inc,FI,0.11%,Transaction & Payment Processing Services,US,---,"$2,206,807,266.53","17,116,321"
,2304227,Ecolab Inc,ECL,0.11%,Specialty Chemicals,US,---,"$2,198,567,797.92","8,028,072"
,B4MGBG6,HCA Healthcare Inc,HCA,0.11%,Health Care Facilities,US,---,"$2,195,966,944.60","5,152,433"
,2065159,Autodesk Inc,ADSK,0.11%,Application Software,US,---,"$2,138,849,237.76","6,732,928"
,BN134B7,Snowflake Inc,SNOW,0.11%,Internet Services & Infrastructure,US,---,"$2,133,029,507.70","9,457,014"
,2641894,Norfolk Southern Corp,NSC,0.10%,Rail Transportation,US,---,"$2,121,615,283.59","7,062,399"
,BZ8VJQ8,Vistra Corp,VST,0.10%,Independent Power Producers & Energy Traders,US,---,"$2,089,682,132.24","10,665,997"
,2160753,CSX Corp,CSX,0.10%,Rail Transportation,US,---,"$2,082,135,703.43","58,635,193"
,BRC3N84,TE Connectivity PLC,TEL,0.10%,Electronic Manufacturing Services,US,---,"$2,041,651,831.12","9,300,104"
,2209106,Colgate-Palmolive Co,CL,0.10%,Household Products,US,---,"$2,030,091,248.78","25,395,187"
,BYW36M8,PayPal Holdings Inc,PYPL,0.10%,Transaction & Payment Processing Services,US,---,"$2,016,660,106.44","30,072,474"
,BJXC5M2,Cloudflare Inc,NET,0.10%,Internet Services & Infrastructure,US,---,"$2,008,561,541.64","9,359,996"
,2224701,Corning Inc,GLW,0.10%,Electronic Components,US,---,"$1,990,763,839.87","24,268,729"
,2769503,Travelers Cos Inc/The,TRV,0.10%,Property & Casualty Insurance,US,---,"$1,977,815,499.98","7,083,359"
,2150204,Quanta Services Inc,PWR,0.10%,Construction & Engineering,US,---,"$1,943,962,164.84","4,690,802"
,2134781,United Rentals Inc,URI,0.10%,Trading Companies & Distributors,US,---,"$1,933,245,688.92","2,025,062"
,2517382,United Parcel Service Inc,UPS,0.10%,Air Freight & Logistics,US,---,"$1,932,862,565.73","23,139,741"
,2318024,EOG Resources Inc,EOG,0.10%,Oil & Gas Exploration & Production,US,---,"$1,925,218,350.24","17,171,052"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.09%,"Hotels, Resorts & Cruise Lines",US,---,"$1,919,610,569.76","7,399,054"
,2011602,Air Products and Chemicals Inc,APD,0.09%,Industrial Gases,US,---,"$1,909,811,252.16","7,002,828"
,2026242,American Electric Power Co Inc,AEP,0.09%,Electric Utilities,US,---,"$1,893,197,137.50","16,828,419"
,B00FWN1,Alnylam Pharmaceuticals Inc,ALNY,0.09%,Biotechnology,US,---,"$1,883,021,904.00","4,129,434"
,2026361,Aflac Inc,AFL,0.09%,Life & Health Insurance,US,---,"$1,881,078,265.00","16,840,450"
,B03GQS4,Digital Realty Trust Inc,DLR,0.09%,Data Center REITs,US,---,"$1,855,436,155.92","10,732,509"
